;Nom_Oferta;Empresa;Ubicació;Temps_Oferta;Horari
56;Junior Data Engineer;Sogeti;Barcelona y alrededores;hace 3 horas;Jornada completa · Algo de responsabilidad
57;Data Analyst;Dow Jones;Barcelona, Cataluña, España;hace 1 semana;Jornada completa
58;Big Data Engineer;Dell Technologies;España;hace 13 horas;Jornada completa
59;Data Scientist;Zurich Insurance;Barcelona, Cataluña, España;hace 5 horas;Jornada completa · Intermedio
60;Data Engineer;Deloitte;Barcelona, Cataluña, España;hace 4 meses;Jornada completa · Algo de responsabilidad
61;Data Analyst - Partners & Brands (They/She/He);Glovo;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Algo de responsabilidad
62;Privacy Operations Data Analyst;HP;Sant Cugat del Vallès, Cataluña, España;hace 6 días;Jornada completa
63;Analista Predictivo;Zurich Insurance;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Intermedio
64;Data Analyst;Fenarc;Barcelona, Cataluña, España;hace 2 días;Jornada completa · Sin experiencia
65;Data Analyst - Partner Ops Excellence (They/She/He);Glovo;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Algo de responsabilidad
66;Senior Data Analyst;GBfoods (Corporate Brand of Gallina Blanca);Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
67;Reporting Data Analyst;Brico Depôt Iberia (Grupo Kingfisher);Barcelona, Cataluña, España;hace 2 días;Temporal · Sin experiencia
68;Data Analyst;MANGO;Palau-solità i Plegamans, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
69;Data Analyst - Fraud (They/She/He);Glovo;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
70;Data Engineer;CaixaBank Tech;Barcelona, Cataluña, España;hace 4 días;Jornada completa
71;Senior Reporting Data Analyst;Zurich Insurance;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Intermedio
72;Reporting Data Analyst/Developer;PPG;Barcelona, Cataluña, España;hace 1 semana;Jornada completa
73;Data Analyst (Power BI & SQL);Michael Page;Barcelona, Cataluña, España;hace 4 semanas;Jornada completa · Algo de responsabilidad
74;Consultor BI Microsoft;;Barcelona, Cataluña, España;hace 1 día;Jornada completa · Algo de responsabilidad
75;GO! Graduate IoT & Data Analysis;Essity;Barcelona, Cataluña, España;hace 1 día;Jornada completa
76;Data Analyst;Grupo Planeta;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
77;Senior Data Analyst - vpTech Data team;Veepee;Barcelona, Cataluña, España;hace 2 meses;Jornada completa · Algo de responsabilidad
78;Analist funcional BI;TSD Consulting;Barcelona, Cataluña, España;hace 3 días;Jornada completa · Sin experiencia
